ID,Name,Brand,Mount,Min. Focal Length (mm),Max. Focal Length (mm),Min. F Value,Max. F Value,Min. Focus Distance (mm),Keywords
92FE6AF9-3D40-49AF-95AB-3A41B25B0B3C,Summarit-S f2.5/70mm Asph.,Leica,Leica S,70,70,2.5,22,500,
C9DD53C5-F723-4E35-A79F-5A1BF51A1E31,Summicron-S f2/100mm Asph.,Leica,Leica S,100,100,2,22,700,
AB645B13-C48A-47E0-B3D8-7247E5044DEA,APO-Macro-Summarit-S f2.5/120mm,Leica,Leica S,120,120,2.5,22,570,
3309E49A-3192-4BAC-8BE9-C799C24C5746,TS-APO-Elmar-S f5.6/120mm Asph.,Leica,Leica S,120,120,5.6,32,950,
F1200C33-49C3-4387-98B7-AB8519E76936,APO-Elmar-S f3.5/180mm Asph.,Leica,Leica S,180,180,3.5,32,1500,
9EDADCEF-BF65-4558-B53E-C70ACF6CFAF7,Super-Vario-Elmar-T f3.5-4.5/11-23mm Asph.,Leica,Leica T,11,23,3.5,16,200,
5BCDBAA6-F4C5-412C-8877-607B68087864,Vario-Elmar-T f3.5-5.6/18-56mm Asph.,Leica,Leica T,18,56,3.5,16,300,
D461AE16-2061-40F6-A3F5-1C8100D6E34A,Summicron-T f2/23mm Asph.,Leica,Leica T,23,23,2,16,350,
D350EA26-0363-40BE-9019-3FE94EB1FA8C,Summilux-TL f1.4/35mm Asph.,Leica,Leica T,35,35,1.4,16,400,
D2C7652C-A2E2-49B2-BE09-1C44730AAAD1,APO-Vario-Elmar-T f3.5-4.5/55-135mm Asph.,Leica,Leica T,55,135,3.5,16,1000,
D3EC5967-5557-4458-9710-A8C384526655,APO-Macro-Elmarit-TL f2.8/60mm Asph.,Leica,Leica T,60,60,2.8,32,160,
BD873E96-8818-4C9D-83EB-27E6BD137973,1 Nikkor VR 6.7-13mm f/3.5-5.6,Nikon,Nikon 1,6.7,13,3.5,16,250,
730DDFD6-32BB-4A0A-A6AB-A374443DECF7,1 Nikkor 10mm f/2.8,Nikon,Nikon 1,10,10,2.8,11,200,
B18AC7AE-E53D-404D-BE90-2CE2173678E5,1 Nikkor AW 10mm f/2.8,Nikon,Nikon 1,10,10,2.8,11,200,
718C29A6-A447-4752-90B6-D47A96E266A2,1 Nikkor VR 10-30mm f/3.5-5.6 PD-ZOOM,Nikon,Nikon 1,10,30,3.5,16,200,
768E80EC-CDE8-44DB-AEB9-5B06F816D87D,1 Nikkor VR 10-100mm f/4-5.6,Nikon,Nikon 1,10,100,4,16,300,
51F09D7D-9A32-4D3D-B55D-02A6E688F91F,1 Nikkor VR 10-100mm f/4.5-5.6 PD-ZOOM,Nikon,Nikon 1,10,100,4,16,300,
33DCF14E-8B1E-49D3-8D55-AC20D0BFF602,1 Nikkor 11-27.5mm f/3.5-5.6,Nikon,Nikon 1,11,27,3.5,16,300,
12E37BE5-9BF0-44AD-B5AD-4FEB855035FA,1 Nikkor 18.5mm f/1.8,Nikon,Nikon 1,18.5,18.5,1.8,16,200,
23A457E8-1EAA-4B7F-AA28-4D277308B4B9,1 Nikkor VR 30-110mm f/3.8-5.6,Nikon,Nikon 1,30,110,3.8,16,1000,
C0C4CDCE-0B42-4F66-B63C-F3EDC4BDB89A,1 Nikkor 32mm f/1.2,Nikon,Nikon 1,32,32,1.2,16,450,
354C9CDC-9702-4378-92EA-F917C598DE20,1 Nikkor VR 70-300mm f/4.5-5.6,Nikon,Nikon 1,70,300,4.5,16,1000,
34A97A54-41BA-4E4A-BEF6-7995A852AB78,AF-S Fisheye Nikkor 8-15mm f/3.5-4.5E ED,Nikon,Nikon F,8,15,3.5,29,160,
357F0CBE-6E60-40FA-A3C4-11D2BCE77399,AF-P DX Nikkor 10-20mm f/4.5-5.6G VR,Nikon,Nikon F,10,20,4.5,29,220,
F6647690-3E1E-4435-B6F9-76EB89FA2826,AF-S DX Nikkor 10-24mm f/3.5-4.5G ED,Nikon,Nikon F,10,24,3.5,29,240,
E7771054-75EC-4436-8B05-C963A82A1145,AF DX Fisheye-Nikkor 10.5mm f/2.8G ED,Nikon,Nikon F,10.5,10.5,2.8,22,140,
3580CDA9-93B0-4BE1-8F3C-4183D6F4705E,AF-S DX Zoom-Nikkor 12-24mm f/4G IF-ED,Nikon,Nikon F,12,24,4,22,300,
ADCF53D7-0942-4560-B568-E2C1294E9590,Ai AF Nikkor 14mm f/2.8D ED,Nikon,Nikon F,14,14,2.8,22,200,
F98DAE95-22C6-4710-9B71-3CEB1AD08A65,AF-S Nikkor 14-24mm f/2.8G ED,Nikon,Nikon F,14,24,2.8,22,280,
3C0C808A-ED0E-47E3-8B8F-E467FF521740,AI Nikkor 15mm F3.5S,Nikon,Nikon F,15,15,3.5,22,300,
FCB81233-08B4-43EF-B34A-079AF7410895,AI AF Fisheye-Nikkor 16mm f/2.8D,Nikon,Nikon F,16,16,2.8,22,250,
93430CCE-20B9-4264-B16D-925A28F05B10,AF-S Nikkor 16-35mm f/4G ED VR,Nikon,Nikon F,16,35,4,22,290,
12BBD077-10D7-4179-87FD-3B2C81EEA84A,AF-S DX Nikkor 16-80mm f/2.8-4E ED VR,Nikon,Nikon F,16,80,2.8,32,350,
37EBD3EE-339E-463B-961D-A2D1BBE0BAC6,AF-S DX Nikkor 16-85mm f/3.5-5.6G ED VR,Nikon,Nikon F,16,85,3.5,36,380,
D207920C-BF20-4B3D-9A60-C63F7CAC45F5,AI AF-S Zoom-Nikkor 17-35mm f/2.8D IF-ED,Nikon,Nikon F,17,35,2.8,22,280,
212FAE85-617E-44EC-A9E1-2173712FEE66,AF-S DX Zoom-Nikkor 17-55mm f/2.8G IF-ED,Nikon,Nikon F,17,55,2.8,22,360,
770095FB-4101-4294-82C2-3B20F0FDA922,AI AF Nikkor 18mm F2.8D,Nikon,Nikon F,18,18,2.8,22,250,
CBBC5366-858D-474C-965D-267AC318B537,AI Nikkor 18mm F3.5S,Nikon,Nikon F,18,18,3.5,22,250,
C5002C1F-5247-4AB0-9616-9AA2420BCD20,AF-S Nikkor 18-35mm f/3.5-4.5G ED,Nikon,Nikon F,18,35,3.5,29,280,
F79FCF9B-57BF-4243-BCD0-2688D2B07D32,AI AF Zoom-Nikkor 18-35mm f/3.5-4.5D IF-ED,Nikon,Nikon F,18,35,3.5,22,330,
97C75BCD-1B11-477D-8EC9-D24932B6C82B,AF-P DX Nikkor 18-55mm f/3.5-5.6G,Nikon,Nikon F,18,55,3.5,38,250,
4E8465D7-34CC-46DE-A936-7A7B2EFE1E86,AF-P DX Nikkor 18-55mm f/3.5-5.6G VR,Nikon,Nikon F,18,55,3.5,38,250,
5E55BC6F-7216-4BEE-9FE7-E69305D6E453,AF-S DX Nikkor 18-55mm f/3.5-5.6G VR,Nikon,Nikon F,18,55,3.5,36,280,
FD89D5B5-F82D-43B5-A0C7-15B641EDCEC4,AF-S DX Nikkor 18-55mm f/3.5-5.6G VR II,Nikon,Nikon F,18,55,3.5,36,250,
